x,y,z
800,1200,9430.15227809336
800,1250,9524.323286890014
800,1300,9614.800348747836
800,1350,9701.862355399617
800,1400,9785.75775981034
800,1450,9866.708850649216
825,0,0
825,50,2128.2241015945156
825,100,3777.2241015945156
825,150,4741.827265283703
825,200,5426.224101594516
825,250,5957.083530063776
825,300,6390.827265283705
825,350,6757.552368067506
825,400,7075.224101594517
825,450,7355.430428972891
825,500,7606.083530063776
825,550,7832.82684072742
825,600,8039.827265283705
825,650,8230.249196809178
825,700,8406.552368067507
825,750,8570.686693752963
825,800,8724.224101594518
825,850,8868.450326816328
825,900,9004.43042897289
825,950,9133.05657126299
825,1000,9255.083530063777
825,1050,9371.155531756693
825,1100,9481.826840727419
825,1150,9587.57776713253
825,1200,9688.827265283704
825,1250,9785.942958533036
825,1300,9879.249196809178
825,1350,9969.03359266208
825,1400,10055.552368067507
825,1450,10139.034762559884
850,0,0
850,50,2156.5591710249264
850,100,3855.5591710249264
850,150,4849.41045975017
850,200,5554.559171024926
850,250,6101.515004238556
850,300,6548.410459750172
850,350,6926.255183600797
850,400,7253.559171024928
850,450,7542.2617484754155
850,500,7800.515004238556
850,550,8034.133491089695
850,600,8247.410459750172
850,650,8443.606252146641
850,700,8625.255183600797
850,750,8794.3662929638
850,800,8952.559171024928
850,850,9101.158538309253
850,900,9241.261748475416
850,950,9373.78801636558
850,1000,9499.515004238554
850,1050,9619.106472326039
850,1100,9733.133491089695
850,1150,9842.090934365791
850,1200,9946.410459750172
850,1250,10046.470837452183
850,1300,10142.606252146641
850,1350,10235.11303720066
850,1400,10324.255183600795
850,1450,10410.26888174667
875,0,0
875,50,2183.834530829543
875,100,3932.834530829543
875,150,4955.933944590846
875,200,5681.834530829543
875,250,6244.886768787541
875,300,6704.933944590846
875,350,7093.898289508294
875,400,7430.834530829545
875,450,7728.03335835215
875,500,7993.886768787541
875,550,8234.380431826177
875,600,8453.933944590846
875,650,8655.903597858312
875,700,8842.898289508295
875,750,9016.986182548844
875,800,9179.834530829547
875,850,9332.807040176387
875,900,9477.03335835215
875,950,9613.459751842376
875,1000,9742.886768787539
875,1050,9865.997703269597
875,1100,9983.380431826175
875,1150,10095.54439197326
875,1200,10202.933944590848
875,1250,10305.939006745535
875,1300,10404.903597858312
875,1350,10500.132772113451
875,1400,10591.898289508295
875,1450,10680.443291307667
900,0,0
900,50,2210.0804321181786
900,100,4009.0804321181786
900,150,5061.427970915538
900,200,5808.080432118179
900,250,6387.229074820543
900,300,6860.42797091554
900,350,7260.511936899809
900,400,7607.08043211818
900,450,7912.775509712899
900,500,8186.229074820543
900,550,8433.597914046677
900,600,8659.427970915538
900,650,8867.171485054001
900,700,9059.51193689981
900,750,9238.576613617905
900,800,9406.080432118179
900,850,9563.426083527542
900,900,9711.775509712901
900,950,9852.10202880319
900,1000,9985.229074820545
900,1050,10111.859475697169
900,1100,10232.597914046677
900,1150,10347.968391064744
900,1200,10458.427970915538
900,1250,10564.377717522908
900,1300,10666.171485054001
900,1350,10764.12304851026
900,1400,10858.51193689981
900,1450,10949.588242352682
925,0,0
925,50,2235.3254465896625
925,100,4084.3254465896625
925,150,5165.921110423082
925,200,5933.3254465896625
925,250,6528.570494036398
925,300,7014.921110423082
925,350,7426.124697474173
925,400,7782.325446589664
925,450,8096.516774256501
925,500,8377.570494036398
925,550,8631.814509450025
925,600,8863.921110423082
925,650,9077.438485432544
925,700,9275.124697474173
925,750,9459.166157869815
925,800,9631.325446589664
925,850,9793.044240061543
925,900,9945.516774256499
925,950,10089.743418946855
925,1000,10226.570494036398
925,1050,10356.72036130759
925,1100,10480.814509450025
925,1150,10599.39150333908
925,1200,10712.921110423082
925,1250,10821.815541483127
925,1300,10926.438485432544
925,1350,11027.112438089916
925,1400,11124.124697474173
925,1450,11217.732306580543
950,0,0
950,50,2259.5966026215883
