x,y,z
900,1050,2073.006
900,1100,2141.663
900,1150,2207.269
900,1200,2270.082
900,1250,2330.33
900,1300,2388.215
900,1350,2443.915
900,1400,2497.589
900,1450,2549.379
925,0,0
925,50,97.563
925,100,201.77
925,150,305.349
925,200,411.183
925,250,493.275
925,300,618.926
925,350,732.569
925,400,831.011
925,450,917.842
925,500,995.516
925,550,1118.663
925,600,1247.082
925,650,1365.215
925,700,1474.589
925,750,1576.414
925,800,1671.665
925,850,1761.139
925,900,1845.498
925,950,1925.295
925,1000,2000.997
925,1050,2073.006
925,1100,2141.663
925,1150,2207.269
925,1200,2270.082
925,1250,2330.33
925,1300,2388.215
925,1350,2443.915
925,1400,2497.589
925,1450,2549.379
950,0,0
950,50,97.563
950,100,201.77
950,150,305.349
950,200,411.183
950,250,493.275
950,300,618.926
950,350,732.569
950,400,831.011
950,450,917.842
950,500,995.516
950,550,1118.663
950,600,1247.082
950,650,1365.215
950,700,1474.589
950,750,1576.414
950,800,1671.665
950,850,1761.139
950,900,1845.498
950,950,1925.295
950,1000,2000.997
950,1050,2073.006
950,1100,2141.663
950,1150,2207.269
950,1200,2270.082
950,1250,2330.33
950,1300,2388.215
950,1350,2443.915
950,1400,2497.589
950,1450,2549.379
975,0,0
975,50,97.563
975,100,201.77
975,150,305.349
975,200,411.183
975,250,493.275
975,300,618.926
975,350,732.569
975,400,831.011
975,450,917.842
975,500,995.516
975,550,1118.663
975,600,1247.082
975,650,1365.215
975,700,1474.589
975,750,1576.414
975,800,1671.665
975,850,1761.139
975,900,1845.498
975,950,1925.295
975,1000,2000.997
975,1050,2073.006
975,1100,2141.663
975,1150,2207.269
975,1200,2270.082
975,1250,2330.33
975,1300,2388.215
975,1350,2443.915
975,1400,2497.589
975,1450,2549.379
1000,0,0
1000,50,97.563
1000,100,201.77
1000,150,305.349
1000,200,411.183
1000,250,493.275
1000,300,618.926
1000,350,732.569
1000,400,831.011
1000,450,917.842
1000,500,995.516
1000,550,1118.663
1000,600,1247.082
1000,650,1365.215
1000,700,1474.589
1000,750,1576.414
1000,800,1671.665
1000,850,1761.139
1000,900,1845.498
1000,950,1925.295
1000,1000,2000.997
1000,1050,2073.006
1000,1100,2141.663
1000,1150,2207.269
1000,1200,2270.082
1000,1250,2330.33
1000,1300,2388.215
1000,1350,2443.915
1000,1400,2497.589
1000,1450,2549.379
1025,0,0
1025,50,97.563
1025,100,201.77
1025,150,305.349
1025,200,411.183
1025,250,493.275
1025,300,618.926
1025,350,732.569
1025,400,831.011
1025,450,917.842
1025,500,995.516
1025,550,1118.663
1025,600,1247.082
1025,650,1365.215
1025,700,1474.589
1025,750,1576.414
1025,800,1671.665
1025,850,1761.139
1025,900,1845.498
1025,950,1925.295
1025,1000,2000.997
1025,1050,2110.047
1025,1100,2247.43
1025,1150,2378.705
1025,1200,2504.392
1025,1250,2624.947
1025,1300,2740.774
1025,1350,2852.228
1025,1400,2959.629
1025,1450,3063.261
1050,0,0
1050,50,97.563
1050,100,201.77
1050,150,305.349
1050,200,411.183
1050,250,493.275
1050,300,618.926
1050,350,732.569
1050,400,831.011
1050,450,917.842
1050,500,995.516
1050,550,1118.663
1050,600,1247.082
1050,650,1365.215
1050,700,1474.589
1050,750,1576.414
1050,800,1671.665
1050,850,1761.139
1050,900,1845.498
1050,950,1925.295
1050,1000,2000.997
1050,1050,2110.047
1050,1100,2247.43
1050,1150,2378.705
1050,1200,2504.392
1050,1250,2624.947
1050,1300,2740.774
1050,1350,2852.228
1050,1400,2959.629
1050,1450,3063.261
1075,0,0
1075,50,97.563
1075,100,201.77
1075,150,305.349
1075,200,411.183
1075,250,493.275
1075,300,618.926
1075,350,732.569
1075,400,831.011
1075,450,917.842
1075,500,995.516
1075,550,1118.663
1075,600,1247.082
1075,650,1365.215
1075,700,1474.589
1075,750,1576.414
1075,800,1671.665
1075,850,1761.139
1075,900,1845.498
1075,950,1925.295
1075,1000,2000.997
1075,1050,2110.047
1075,1100,2247.43
1075,1150,2378.705
1075,1200,2504.392
1075,1250,2624.947
1075,1300,2740.774
1075,1350,2852.228
1075,1400,2959.629
1075,1450,3063.261
1100,0,0
1100,50,97.563
1100,100,201.77
1100,150,305.349
1100,200,411.183
1100,250,493.275
1100,300,618.926
1100,350,732.569
1100,400,831.011
1100,450,917.842
1100,500,995.516
1100,550,1118.663
1100,600,1247.082
1100,650,1365.215
1100,700,1474.589
1100,750,1576.414
1100,800,1671.665
1100,850,1761.139
1100,900,1845.498
1100,950,1925.295
1100,1000,2000.997
1100,1050,2110.047
1100,1100,2247.43
1100,1150,2378.705
1100,1200,2504.392
1100,1250,2624.947
1100,1300,2740.774
1100,1350,2852.228
1100,1400,2959.629
1100,1450,3063.261
1125,0,0
1125,50,97.563
1125,100,201.77
1125,150,305.349
1125,200,411.183
1125,250,493.275
1125,300,618.926
1125,350,732.569
1125,400,831.011
1125,450,917.842
1125,500,995.516
1125,550,1118.663
1125,600,1247.082
1125,650,1365.215
1125,700,1474.589
1125,750,1576.414
1125,800,1671.665
1125,850,1761.139
1125,900,1845.498
1125,950,1925.295
1125,1000,2000.997
1125,1050,2110.047
1125,1100,2247.43
1125,1150,2378.705
1125,1200,2504.392
1125,1250,2624.947
1125,1300,2740.774
1125,1350,2852.228
1125,1400,2959.629
1125,1450,3063.261
1150,0,0
1150,50,97.563
1150,100,201.77
1150,150,305.349
1150,200,411.183
1150,250,493.275
1150,300,618.926
1150,350,732.569
1150,400,831.011
1150,450,917.842
1150,500,995.516
1150,550,1118.663
1150,600,1247.082
1150,650,1365.215
1150,700,1474.589
1150,750,1576.414
1150,800,1671.665
1150,850,1761.139
1150,900,1845.498
1150,950,1925.295
1150,1000,2000.997
1150,1050,2110.047
1150,1100,2247.43
1150,1150,2378.705
1150,1200,2504.392
1150,1250,2624.947
1150,1300,2740.774
1150,1350,2852.228
1150,1400,2959.629
1150,1450,3063.261
1175,0,0
1175,50,97.563
1175,100,201.77
1175,150,305.349
1175,200,411.183
1175,250,493.275
1175,300,618.926
1175,350,732.569
1175,400,831.011
